KOPIE DOKUMENTOW Z KAS FISKALNYCH
etykieta: 160524_153936_1501240287_8D49
od: 24.05.2016 15:39:00
do: 01.01.2021 17:22:00
nip: NIP:6412472651
data zamkniecia nosnika: 00-00-0000 00:00:00

 nr unikatowy   | nr doby | od                  | do
                |  00307  | 31.05.2017 09:36:00 | 31.05.2017 17:39:00
                |  00308  | 01.06.2017 09:39:00 | 01.06.2017 17:43:00
                |  00309  | 02.06.2017 09:59:00 | 02.06.2017 17:30:00
                |  00310  | 03.06.2017 09:17:00 | 03.06.2017 13:11:00
                |  00311  | 03.06.2017 13:15:00 | 05.06.2017 17:33:00
                |  00312  | 06.06.2017 09:55:00 | 06.06.2017 18:09:00
                |  00313  | 07.06.2017 11:46:00 | 07.06.2017 17:33:00
                |  00314  | 08.06.2017 11:09:00 | 08.06.2017 17:27:00
                |  00315  | 09.06.2017 10:11:00 | 09.06.2017 17:31:00
                |  00316  | 10.06.2017 09:55:00 | 10.06.2017 13:09:00
                |  00317  | 12.06.2017 10:24:00 | 12.06.2017 17:33:00
                |  00318  | 13.06.2017 09:47:00 | 13.06.2017 17:33:00
                |  00319  | 14.06.2017 10:27:00 | 14.06.2017 17:35:00
                |  00320  | 16.06.2017 12:02:00 | 16.06.2017 17:37:00
                |  00321  | 17.06.2017 09:18:00 | 17.06.2017 15:20:00
                |  00322  | 19.06.2017 09:37:00 | 19.06.2017 16:21:00
                |  00323  | 20.06.2017 09:39:00 | 20.06.2017 17:50:00
                |  00324  | 21.06.2017 09:46:00 | 21.06.2017 17:35:00
                |  00325  | 22.06.2017 09:51:00 | 22.06.2017 17:31:00
                |  00326  | 23.06.2017 09:47:00 | 23.06.2017 17:30:00
                |  00327  | 24.06.2017 09:28:00 | 24.06.2017 14:18:00
                |  00328  | 26.06.2017 09:39:00 | 26.06.2017 17:29:00
                |  00329  | 27.06.2017 09:49:00 | 27.06.2017 17:28:00
                |  00330  | 28.06.2017 09:41:00 | 28.06.2017 19:12:00
                |  00331  | 29.06.2017 09:39:00 | 29.06.2017 17:34:00
                |  00332  | 30.06.2017 09:40:00 | 30.06.2017 17:30:00
                |  00333  | 01.07.2017 09:10:00 | 01.07.2017 13:54:00
                |  00334  | 03.07.2017 10:30:00 | 03.07.2017 18:02:00
                |  00335  | 03.07.2017 18:42:00 | 04.07.2017 17:35:00
                |  00336  | 05.07.2017 09:44:00 | 05.07.2017 17:32:00
                |  00337  | 06.07.2017 10:18:00 | 06.07.2017 17:38:00
                |  00338  | 07.07.2017 09:52:00 | 07.07.2017 17:30:00
                |  00339  | 08.07.2017 09:59:00 | 08.07.2017 13:18:00
                |  00340  | 10.07.2017 09:41:00 | 10.07.2017 17:42:00
                |  00341  | 11.07.2017 10:01:00 | 11.07.2017 17:36:00
                |  00342  | 12.07.2017 09:50:00 | 12.07.2017 17:30:00
                |  00343  | 13.07.2017 10:06:00 | 13.07.2017 17:02:00
                |  00344  | 24.07.2017 09:55:00 | 24.07.2017 17:35:00
                |  00345  | 25.07.2017 09:45:00 | 25.07.2017 18:12:00
                |  00346  | 26.07.2017 09:40:00 | 26.07.2017 17:29:00
                |  00347  | 27.07.2017 09:39:00 | 27.07.2017 17:33:00
                |  00348  | 28.07.2017 09:42:00 | 28.07.2017 17:00:00
                |  00349  | 29.07.2017 09:38:00 | 29.07.2017 12:58:00
                |  00350  | 31.07.2017 10:19:00 | 31.07.2017 17:40:00
                |  00351  | 01.08.2017 09:37:00 | 01.08.2017 17:30:00
                |  00352  | 01.08.2017 17:34:00 | 02.08.2017 17:35:00
                |  00353  | 03.08.2017 11:29:00 | 03.08.2017 17:29:00
                |  00354  | 04.08.2017 09:41:00 | 04.08.2017 17:29:00
                |  00355  | 05.08.2017 09:17:00 | 05.08.2017 13:01:00
                |  00356  | 07.08.2017 09:51:00 | 07.08.2017 17:28:00
                |  00357  | 08.08.2017 09:37:00 | 08.08.2017 17:34:00
                |  00358  | 09.08.2017 09:44:00 | 09.08.2017 17:29:00
                |  00359  | 10.08.2017 09:33:00 | 10.08.2017 17:46:00
                |  00360  | 11.08.2017 09:40:00 | 11.08.2017 17:31:00
                |  00361  | 12.08.2017 09:58:00 | 12.08.2017 13:00:00
                |  00362  | 14.08.2017 09:49:00 | 14.08.2017 17:32:00
                |  00363  | 16.08.2017 09:40:00 | 16.08.2017 17:31:00
                |  00364  | 17.08.2017 09:47:00 | 17.08.2017 17:45:00
                |  00365  | 18.08.2017 09:32:00 | 18.08.2017 17:39:00
                |  00366  | 19.08.2017 09:11:00 | 19.08.2017 13:07:00
                |  00367  | 21.08.2017 09:35:00 | 21.08.2017 17:37:00
                |  00368  | 22.08.2017 09:45:00 | 22.08.2017 17:28:00
                |  00369  | 23.08.2017 09:35:00 | 23.08.2017 17:29:00
                |  00370  | 24.08.2017 09:32:00 | 24.08.2017 17:33:00
                |  00371  | 25.08.2017 09:29:00 | 25.08.2017 19:01:00
                |  00372  | 26.08.2017 09:22:00 | 26.08.2017 13:37:00
                |  00373  | 28.08.2017 10:11:00 | 28.08.2017 17:39:00
